comment;id;rating;Вопрос решен;Нравится качество выполнения заявки;Нравится качество работы сотрудников;Нравится скорость отработки заявок;Понравилось выполнение заявки;Вопрос не решен
Быстро ;3863609;5;0;0;0;1;0;0
Спасибо за своевременное выполнение заявки...;3866829;5;1;0;0;0;0;0
все сделали быстро. спасибо ;3866867;5;1;0;0;1;0;0
всё отлично 👍;3868883;5;1;0;0;0;0;0
Большое спасибо Александру,за оперативность и профессионализм ;3872124;5;0;0;1;1;0;0
оперативно и качественно. спасибо ;3873692;5;0;1;0;1;0;0
благодарю, всего доброго!;3875262;5;1;0;0;0;0;0
К мастеру вопросов нет.  ;3877334;3;0;0;1;0;0;0
Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!;3877901;5;1;0;0;1;1;0
вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ;3878088;5;1;1;1;0;0;0
спасибо большое! надолго ли🙄;3878555;5;1;0;0;0;0;0
Всё очень четко организовано! Большое спасибо за работу!;3879856;5;1;0;0;0;1;0
Спасибо Вам большое и за дверь и за номера квартир!;3880345;5;1;0;0;0;1;0
снимаю звезду за первую отписку без выполнения работ;3880717;3;0;0;0;0;0;1
В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ;3881004;5;1;1;0;1;0;0
Спасибо! Все заработало ;3881460;5;1;0;0;0;0;0
спасибо, решили мой вопрос на месте в офисе ;3881636;5;1;0;0;0;0;0
Спасибо больше Ольге Птушкине, за проделанную работу! ;3882840;5;1;0;0;0;0;0
всё сделали хорошо, починили вовремя. наверное, молодцы.;3883200;5;1;1;0;1;0;0
Супер! Спасибо!;3883549;5;1;0;0;0;0;0
Отлично! Все выполнили как и обещали! ;3883658;5;1;0;0;0;1;0
Очень оперативно. Спасибо большое ;3883736;5;0;0;0;1;0;0
Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.;3883745;5;1;1;1;1;1;0
Умело подкрутили редукторы давления. Молодец!;3884964;5;1;0;0;0;0;0
все хорошо,дверь практически бесшумно закрывается;3885089;5;1;0;0;0;0;0
проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам;3886150;5;0;0;1;0;0;0
быстро, чётко, без проблем. одно слово - мастер! ;3886231;5;1;0;1;1;1;0
Работает. Спасибо!;3886721;5;1;0;0;0;0;0
сегодня ездил, все исправно работает, спасибо!;3886923;5;1;0;0;0;0;0
Спасибо большое, всё понятно.;3886937;5;1;0;0;0;0;0
Татьяна спасибо ❤️;3887002;5;1;0;0;0;0;0
На вопрос ответили. Крепления нельзя повесить в колясочной;3887203;5;1;0;0;0;0;0
Большое спасибо!;3887228;5;1;0;0;0;0;0
Лучший ;3887353;5;0;0;0;0;1;0
спасибо за то что быстро отреагировали;3887392;5;0;0;0;1;0;0
Сервис на высоте, мастер - профессионал;3887422;5;0;0;1;0;0;0
Надолго ли(;3887614;2;1;0;0;0;0;0
Спасибо. Все работает;3887743;5;1;0;0;0;0;0
заявка выполнена, спасибо.;3887844;5;1;0;0;0;0;0
Дверь закрывается намного лучше.;3887922;5;1;0;0;0;0;0
Спасибо за быстрое реагирование!!!;3888009;5;0;0;0;1;0;0
Оперативно сработали, благодарю.;3888318;5;0;0;0;1;0;0
Спасибо сантехнику Алексею, все сделано качественно ;3888354;5;1;1;1;0;0;0
Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!;3888539;5;1;1;1;1;1;0
Очень оперативно и никуда не пришлось ходить.;3888591;5;1;0;0;1;0;0
Проблема решена.;3888606;5;1;0;0;0;0;0
Очень оперативно отреагировали! Спасибо!;3888633;5;0;0;0;1;0;0
оперативно, качественно, вопросов не возникло. Спасибо.;3888794;5;0;1;0;1;0;0
Благодарю за оперативность!;3888828;5;0;0;0;1;0;0
спасибо за оперативное решение проблемы. ;3889213;5;1;0;0;1;0;0
Оперативная работа;3889473;1;0;0;0;1;0;0
"оперативное решение проблемы! 
";3889502;5;1;0;0;1;0;0
Первый раз вы решили вопрос быстро ;3889542;5;1;0;0;1;0;0
отлично спасибо ;3889783;5;1;0;0;0;0;0
спасибо большое, Татьяна.;3889827;5;1;0;0;0;0;0
Лучший мастер на свете 🥰Спасибо большое 🙏;3889956;5;0;0;1;0;0;0
Спасибо большое, что починили домофон. ;3890030;5;1;0;0;0;0;0
Отличная работа;3890209;5;1;0;0;0;0;0
Спасибо огромное за помощь!;3890231;5;1;0;0;0;0;0
обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ;3890239;5;1;0;0;0;0;0
отличная работа. теперь дверь закрывается плавно. спасибо. ;3890275;5;1;0;0;0;0;0
Все супер быстро! Спасибо! ;3890393;5;0;0;0;1;0;0
Оперативно) спасибо;3890484;5;0;0;0;1;0;0
Молодцы, оперативно. ;3890517;5;0;0;0;1;0;0
Вопрос решился быстро. Спасибо!;3890604;5;1;0;0;1;0;0
Александру спасибо за объяснение причины бульканья ! ;3890678;5;0;0;1;0;0;0
спасибо! всё быстро!;3890716;5;0;0;0;1;0;0
Спасибо! Исправили мою ошибку;3890985;5;1;0;0;0;0;0
мастер сделал все очень быстро и аккуратно;3891095;5;1;0;1;0;1;0
Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо ;3891325;5;1;1;1;1;1;0
Иван, огромное спасибо вам ! ;3891380;5;1;0;0;0;0;0
Среагировали за 20 минут!!!!;3891477;5;0;0;0;1;0;0
Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) ;3891489;5;1;0;1;0;1;0
спасибо! в тот же день электрик решил проблему.;3891568;5;1;0;0;1;0;0
Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах;3891612;5;1;0;0;0;1;0
да все верно. спасибо;3891850;5;1;0;0;0;0;0
спасибо всё бистро устранили ;3891871;5;1;0;0;1;0;0
Спасибо, вроде бы стало лучше. ;3891943;4;1;0;0;0;0;0
Спасибо большое за Вашу быструю и профессиональную помощь. ;3892115;5;1;1;0;1;0;0
Все быстро, не смотря на поздний час.;3892189;5;0;0;0;1;0;0
ответ был предоставлен оперативно и в полном объеме;3892432;5;0;1;0;1;0;0
Спасибо огромное,  напор стал отличным!;3892474;5;1;0;0;0;0;0
Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка);3892548;5;1;1;0;0;1;0
сделали;3892589;5;1;0;0;0;0;0
Спасибо мастеру Сергею за четкую работу! ;3892591;5;1;1;1;0;0;0
Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова;3892629;4;1;0;0;0;0;0
Благодарим, очень оперативно!;3892632;5;0;0;0;1;0;0
Быстро, мастеру большое спасибо;3892659;5;0;0;1;1;0;0
Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!;3892748;5;0;0;1;1;1;0
главное что проблема решена! спасибо!;3892858;5;1;0;0;0;0;0
Спасибо.. все сделали быстро .. очень вежливые сотрудники. ;3892909;5;1;0;1;1;0;0
спасибо, что решили проблему оперативно ;3892910;5;1;0;0;1;0;0
Оперативно, внимательно, вежливо. Спасибо. ;3893074;5;1;0;0;1;0;0
Спасибо, всё оперативно сделали!;3893110;5;1;0;0;1;0;0
Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК;3893437;5;1;0;1;0;0;0
"Заявка быстра принята в работу. Проблема решена. Спасибо! 
";3893476;5;1;0;0;1;0;0
Молодцы! Быстро! 😁;3893532;5;0;0;0;1;0;0
 Спасибо большое за оперативность👍👍👍;3893735;5;0;0;0;1;0;0
Спасибо большое,всех благ и процветание вашей компании ;3893860;5;1;0;0;0;1;0
спасибо электрику;3893967;5;1;0;1;0;0;0
всё грамотно по полочкам объяснил;3894064;5;0;0;0;0;1;0
благодарю за быстро и качественно оказанную услугу;3894130;5;0;1;0;1;0;0
Спасибо за оперативное решение вопроса! ;3894191;5;1;0;0;1;0;0
Огромное спасибо, быстро и качественно ;3894326;5;0;1;0;1;0;0
спасибо за ремонт!;3894440;5;1;0;0;0;0;0
благодарю менеджера Татьяну ;3894680;5;0;0;1;0;0;0
благодарю менеджера ;3894684;5;0;0;1;0;0;0
сотрудники молодцы!;3894714;5;0;0;1;0;0;0
оперативно и качественно! браво!;3894893;5;0;1;0;1;0;0
Спасибо огромное! Оперативно и качественно решили проблему! ;3894902;5;1;1;0;1;0;0
Поднималась сегодня с утра, запаха нет совсем. Спасибо большое ;3895042;5;1;0;0;0;1;0
Специалист проконсультировал, сориентировал по срокам.;3895051;5;1;0;0;0;0;0
спасибо, быстро и качественно. ;3895064;5;1;1;0;1;0;0
Быстро и оперативно ;3895519;5;0;1;0;1;0;0
Оперативно. Пока работает ;3895624;5;1;0;0;1;0;0
Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ;3895634;5;0;1;0;1;0;0
Отличный сотрудник ;3895794;5;0;0;1;0;0;0
Спасибо Мастеру Олегу!;3895805;5;0;0;1;0;0;0
Для точной оценки нужно пережить зиму и понять, лучше стало или нет;3895874;5;1;0;0;0;0;0
Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗;3895925;5;1;1;0;1;1;0
Быстро.Качественно.;3896179;5;0;1;0;1;0;0
Спасибо большое всё решили быстро!;3896191;5;1;0;0;1;0;0
оперативно, быстро .;3896230;5;0;0;0;1;0;0
оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!;3896480;5;1;0;0;0;0;0
Приходил мастер все отрегулировал большое спасибо ;3896509;5;1;0;0;0;0;0
Оперативно ;3896614;5;0;0;0;1;0;0
спасибо за консультацию;3896717;5;1;0;0;0;0;0
Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали);3896735;5;1;0;1;0;0;0
Спасибо! Всё хорошо ;3896818;5;1;0;0;0;0;0
Все ок;3896822;5;1;0;0;0;0;0
Сразу бы так;3896870;5;1;0;0;0;0;0
" Ответ получен. 
Спасибо, что результатом стало уточнение и меня поняли. 
";3896928;5;1;0;0;0;1;0
"Благодарю за обратную связь. 
За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. 
При звонке было вежливое, доброжелательное отношение. ";3896945;5;1;0;1;0;1;0
"Прислали на следующий день.
";3896981;5;1;0;0;0;0;0
Очень быстро отреагировали. Работа качественная!;3897000;5;0;1;0;1;0;0
Ну устранено;3897003;1;1;0;0;0;0;0
спасибо за подсказки и внимательное отношение ;3897016;5;0;0;0;0;1;0
Сантехник связался сразу. Вопрос решен. ;3897067;5;1;0;0;0;0;0
Спасибо технику);3897113;5;0;0;1;0;0;0
Благодарю.  Всё отлично 👍. ;3897118;5;1;0;0;0;0;0
Сантехник был ;3897201;5;1;0;0;0;0;0
подсказали куда обратиться для решения вопроса;3897252;5;1;0;0;0;0;0
Спасибо большое за информацию. Татьяна молодец!;3897281;5;0;0;1;0;0;0
электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю. ;3897654;5;1;0;1;1;0;0
Все было сделано быстро и качественно.;3897730;5;1;1;0;1;0;0
Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо ;3897831;5;1;0;0;1;0;0
Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!;3898045;5;1;0;0;0;0;0
"да открыла спасибо
";3898232;5;1;0;0;0;0;0
быстро позвонили, пришли все сделали,спасибо ;3898417;5;1;0;0;1;0;0
Молодцы, очень оперативно!!!!! Прям минус одна головная боль ;3898427;5;1;0;0;1;0;0
Очень быстро, качественно. Спасибо! 🤝;3898572;5;1;1;0;1;0;0
спасибо большое за разъяснения и за оперативность;3898709;5;1;0;0;1;0;0
сотрудники работают на 5+ ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно);3898761;5;1;1;1;1;0;0
Быстро и понятно ;3898762;5;0;0;0;1;0;0
"Просто и удобно, а также быстро и экономия времени и ресурсов
.";3899012;5;1;0;0;0;0;0
Отлично все сделано 5 балов.;3899842;5;1;1;0;0;0;0
"четвёрка за то что выслали только со второго раза. 
нужную квитанцию! ";3899902;4;1;0;0;0;0;0
Спасибо большое, все получила ;3900408;5;1;0;0;0;0;0
Спасибо ,очень оперативно ;3900525;5;1;0;0;1;0;0
благодарю мастера, всё объяснил и дал рекомендации;3900539;5;1;0;1;0;0;0
Ребята молодцы;3900559;5;0;0;1;0;0;0
Спасибо за оперативное решение;3900602;5;1;0;0;1;0;0
Большое спасибо мастеру!;3900869;5;0;0;1;0;0;0
к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании Самолет УК;3900886;5;1;0;0;0;0;0
Специалист компетентно объяснил, что необходимо сделать таких случаях! Игорь Золотухин 👍;3901101;5;0;0;1;0;0;0
Быстро и чётко;3901168;5;1;0;0;1;0;0
Всё хорошо;3901182;5;1;0;0;0;0;0
Владимир грамотно и здорово и быстро все сделал;3901194;5;1;0;1;1;0;0
Отличный сервис! ;3901238;5;1;0;0;0;0;0
Спасибо! Сервис работает, это самое главное :);3901257;5;1;0;0;0;0;0
Все отлично,позвонили,ответ предоставили ;3901356;5;1;0;0;0;0;0
Заявка была отработана в течение 5-ти минут.  Благодарю за оперативность!;3901414;5;0;0;0;1;0;0
Оперативное решение! Спасибо);3901446;5;1;0;0;1;0;0
Татьяна оперативно решила вопрос,очень отзывчивая 👍;3901616;5;1;0;1;1;0;0
Все гуд;3901836;5;1;0;0;0;0;0
Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. ;3901987;5;1;0;1;1;0;0
Спасибо что убрали надпись. Думал, будет аккуратнее ;3902000;4;1;0;0;0;0;0
все быстро и четко ;3902088;5;1;0;0;1;0;0
Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо! ;3902093;5;1;1;1;0;0;0
спасибо за помощь от подключившихся инженеров.;3902383;5;1;0;0;0;0;0
Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!;3902482;5;1;1;1;1;0;0
Благодарю, хотя я уже давно просила и получаю на эл.почту, но почему-то ещё и бумажные получала.;3902496;5;1;0;0;0;0;0
Вопрос был решен оперативно) спасибо большое!;3902529;5;1;0;0;1;0;0
Молодцы!;3902558;5;0;0;1;0;0;0
Все ок ) спасибо ;3902632;5;1;0;0;0;0;0
красавцы, быстро,  оперативно,  очень приятно в общении ;3902786;5;0;0;1;1;0;0
Хорошее обслуживание);3902795;5;1;0;0;0;1;0
Оперативно как всегда ;3903272;5;0;0;0;1;0;0
Большое спасибо , оперативно поставили ограничители ;3903349;5;1;0;0;1;0;0
одну звезду сняла за то,что отличается цвет плитки);3903374;4;0;0;0;0;0;0
спасибо! быстро и оперативно;3903406;5;0;0;0;1;0;0
"Горячая вода появилась.
";3903436;5;1;0;0;0;0;0
Вот теперь молодцы ;3903607;5;1;0;0;0;1;0
все отлично бистро устранили мастер хороши;3903626;5;1;0;1;1;0;0
спасибо, проблема была решена;3903666;5;1;0;0;0;0;0
"спасибо за оперативность и грамотный, развёрнутый ответ) 
";3903709;5;0;0;1;1;0;0
Спасибо большое! Заявка выполнена быстро и качественно!;3903741;5;1;1;0;1;0;0
Выполнено быстро и качественно!;3903997;5;1;1;0;1;0;0
Всё  понятно объяснили.;3904073;5;1;0;0;0;0;0
Большое спасибо Василию за проделанную работу!;3904265;5;1;0;1;0;0;0
Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо);3904421;5;1;0;0;0;1;0
Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!;3904489;5;1;0;0;1;1;0
быстро отреагировали, запустили;3904503;5;1;0;0;1;0;0
Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.;3904606;5;1;0;0;1;1;0
Оперативно и надежно);3904693;5;0;1;0;1;0;0
Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍;3904847;5;1;0;1;1;0;0
Все супер, Очень оперативно и профессионально, Спасибо ;3904911;5;0;0;1;1;0;0
Всё быстро и качественно!👍;3905059;5;0;1;0;1;0;0
Тот кто  выполнял заявку, чудо! Оперативно выполнили. Спасибо 👍🏻;3905086;5;1;0;0;1;1;0
спасибо,жду бумажные платежные поручения со следующего месяца ;3905337;5;1;0;0;0;0;0
лучший мастер на свете, нужно ему выдать премию ;3905720;5;0;0;1;0;0;0
Спасибо электрику, оперативно пришёл! ;3905786;5;0;0;0;1;0;0
Хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении;3906032;5;0;0;0;0;0;0
Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить ;3906048;5;1;0;1;0;0;0
"Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. 
Молодец! 
";3906126;5;1;0;1;0;0;0
спасибо большое за работу и оперативность;3906380;5;1;0;0;1;0;0
жалко, что при оплате счетов через банк, в приложении не отображается информация об оплате и приходится загружать квитанции дополнительно и подтверждать факт оплаты;3906407;4;0;0;0;0;0;0
Все быстро и качественно ;3906535;5;0;1;0;1;0;0
спасибо большое, жаль, что там уже опять намусорили(;3906752;5;1;0;0;0;0;0
спасибо, теперь она закрывается ;3906789;5;1;0;0;0;0;0
Можно было и сразу заявку выполнить. Не забываете что по периметру несколько контейнеров для пакетов. Пакеты кончаются быстро, значит хозяева убирают за собаками. ;3906922;3;1;0;0;0;0;0
Спасибо большое за оперативность,мир и процветание вашей компании Самолет!;3906976;5;0;0;0;1;1;0
Выше похвал.. ;3907117;5;0;0;0;0;1;0
очень вежливая и грамотная сотрудница, побольше бы таких!;3907364;5;0;0;1;0;0;0
спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.;3907480;5;1;0;0;0;0;0
все прекрасно;3907589;5;1;0;0;0;0;0
все быстро и качественно, большое спасибо!;3907672;5;0;1;0;1;0;0
Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации;3907792;5;1;0;1;0;0;0
Спасибо большое, что починили дверь. Зашла без проблем. Дверь работает отлично. ;3907928;5;1;1;0;0;1;0
Спасибо за работу;3908011;5;1;0;0;0;0;0
Спасибо за быстрое решение вопроса. Лояльность мастера с подбором времени;3908429;5;1;0;0;1;0;0
"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.


";3908490;4;1;0;0;0;0;0
спасибо за четкость и быстроту!;3908579;5;0;0;0;1;0;0
Консультация и настройка прибора выполнена очень быстро, качественно и профессионально, спасибо! ;3908590;5;1;1;1;1;0;0
мастер выполнил работу быстро и чисто, все отлично;3908772;5;1;0;1;1;0;0
Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!;3908843;5;1;0;0;1;1;0
Очень быстро👍;3908929;5;0;0;0;1;0;0
спасибо за оперативный ответ😊👍;3909086;5;0;0;0;1;0;0
очень удобно получать электронную квитанцию.  Давно пора. ;3909146;5;1;0;0;0;0;0
Оперативно выполнили заявку. Спасибо;3909271;5;1;0;0;1;0;0
спасибо специалисту. ;3909398;5;0;0;1;0;0;0
Жалко, что заранее не предупреждаете, что есть тех проблемы сейчас, как нам узнать - в новости можно написать такое. И нет такого раздела про формирование квитанций в заявках в УК, не сразу поняла, где написать ;3909430;4;0;0;0;0;0;0
Огромнейшее спасибо за оперативность❤️;3909441;5;0;0;0;1;1;0
Спасибо огромнейшее за оперативность ❤️;3909442;5;0;0;0;1;1;0
Благодарю за работу!;3909517;5;1;0;0;0;1;0
Все решили! Перезвонили . Спасибо ;3909595;5;1;0;0;0;1;0
Очень быстро все сделали!!!!;3909682;5;1;0;0;1;0;0
Все отлично.  Жаль что для сотрудников компании на данные услуги не действуют скидки.;3909787;5;1;0;0;0;0;0
Очень приятный менеджер консультант , которая всё правильно и подробно объясняет.;3909863;5;1;0;1;0;0;0
Спасибо !!!!все супер ;3909888;5;1;0;0;0;1;0
Специалист пришёл очень быстро, все быстро исправил. Спасибо. ;3910052;5;1;0;0;1;0;0
всё супер, вопрос решён быстро);3910060;5;1;0;0;1;1;0
Очень надеюсь что квитанция будет дублироваться и в приложении. А так оперативно и быстро поступила. ;3910089;5;1;0;0;1;0;0
спасибо большое за быстрое реагирование. ;3910166;5;0;0;0;1;0;0
спасибо девочкам операторам!;3910233;5;0;0;1;0;0;0
Менеджер Елизавета  очень быстро решила мой вопрос, спасибо!;3910259;5;1;0;1;0;0;0
спасибо, но придумайте, пожалуйста, способ как этого избежать на будущее. ;3910269;5;1;0;0;0;0;0
Спасибо за работу, выполнена качественно и в срок;3910346;5;1;1;0;0;0;0
Прям молодцы! Порадовали) все четко) ;3910406;5;1;0;0;0;1;0
Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!;3910434;5;1;1;1;1;0;0
Да, подтверждаю ! Вчера вечером обнаружила что устранено. Спасибо;3910685;5;1;0;0;0;0;0
вопрос решён ;3910836;5;1;0;0;0;0;0
"Спасибо за помощь
";3910841;5;1;0;0;0;0;0
Спасибо! Очень быстро сработали!;3910908;5;1;0;0;1;0;0
Добрый день. Спасибо за разъяснение. Всего вам хорошего.;3910977;5;1;0;0;0;0;0
молодец электрик оперативно решил проблему ;3911065;5;1;0;0;1;1;0
Быстро и аккуратно!Благодарю!;3911104;5;1;0;0;1;1;0
спасибо большое! пусть убирают часто.... ;3911134;5;1;0;0;0;1;0
очень оперативно!;3911142;5;0;0;0;1;0;0
все вежливо и информативно ❤️;3911182;5;0;0;0;0;1;0
 Спасибо вам за заботу о нас и нашем здоровье.Экология -это замечательно;3911339;5;0;0;0;0;1;0
работа сотрудника офиса УК Евгении на 10+;3911355;5;0;0;1;0;0;0
спасибо за работу все быстро и качественно. ;3911421;5;0;1;0;1;0;0
Спасибо большое! Проблема была решена очень быстро!;3911514;5;1;0;0;1;0;0
Менеджеру Наталье и дежурного  сантехнику 09.09.2024  большая благодарность  за оперативное решение проблемы. ;3911553;5;1;0;1;1;0;0
Спасибо! оперативно и в полной мере ответили на мой вопрос 👌;3911570;5;1;0;0;1;0;0
Быстро, качественно устранил наш засор ;3911586;5;1;1;0;1;0;0
Спасибо, все качественно и профессионально!;3911663;5;0;1;1;0;0;0
Быстро и качественно. Спасибо!;3911763;5;0;1;0;1;0;0
отличная функция, спасибо ;3911815;5;1;0;0;0;0;0
Спасибо за выполненную работу!;3911905;5;1;0;0;0;1;0
очень оперативно, благодарю;3911957;5;0;0;0;1;1;0
оперативно и четко. сделали аккуратно, прибрались после работы ;3911983;5;1;1;0;1;1;0
Спасибо Александру за профессионализм и быструю работу. ;3912007;5;1;0;1;1;0;0
все отлично, сделали быстро и не дорого;3912121;5;1;0;0;1;1;0
Спасибо большое за оперативный ответ ;3912185;5;1;0;0;1;1;0
Спасибо огромное менеджеру по страхованию Евгении Гущиной за помощь в оформлении страховки!!!! Настоящий профессионал своего дела!!! Исчерпывающе ответила на все интересующие вопросы!!!! ;3912199;5;1;0;1;0;1;0
Оперативно,профессионально,спасибо;3912225;5;0;0;1;1;0;0
Специалист связывался по заявке, все починили! Спасибо ;3912227;5;1;0;0;0;0;0
В течении 2 часов после создания заявки все устранили, спасибо;3912230;5;1;0;0;0;0;0
Ремонт выполнен!;3912246;5;1;0;0;0;0;0
Быстро решили проблему! Спасибо!;3912277;5;1;0;0;1;0;0
Работа мастера, выполнена отлично! Проблема решилась только при личном визите в УК;3912521;5;1;1;1;0;0;0
Большое спасибо Оксане Петриной! ;3912769;5;0;0;1;0;0;0
Всё оперативно,спасибо!;3912975;5;0;0;0;1;0;0
Добрый день! Спасибо. Вопрос решен. ;3913158;5;1;0;0;0;0;0
Все быстро и четко!!! Спасибо!;3913176;5;0;0;0;1;1;0
Очень ответственная девушка в УК.;3913279;5;0;0;1;0;0;0
отлично всё работает ;3913316;5;1;0;0;0;0;0
Благодарность мастеру, сделал быстро и качественно. Премию Ренату. 🤝;3913442;5;1;1;1;1;1;0
